Région,Année,n,p
Afrique ,2011,101098,56.9
Afrique ,2012,102592,56.99
Afrique ,2013,109665,56.99
Afrique ,2014,115921,58
Afrique ,2015,122294,58.22
Afrique ,2016,126171,57.78
Afrique ,2017,138921,58.43
Afrique ,2018,147611,59.16
Afrique ,2019,157886,61.4
Afrique ,2020,136544,64.63
Afrique ,2021,158599,63.02
Amérique,2011,21096,11.87
Amérique,2012,20633,11.46
Amérique,2013,20734,10.77
Amérique,2014,20975,10.49
Amérique,2015,21835,10.39
Amérique,2016,20437,9.35
Amérique,2017,21146,8.890000000000001
Amérique,2018,22961,9.199999999999999
Amérique,2019,21977,8.539999999999999
Amérique,2020,16033,7.58
Amérique,2021,20647,8.199999999999999
Asie ,2011,43134,24.27
Asie ,2012,44047,24.46
Asie ,2013,48770,25.34
Asie ,2014,49050,24.53
Asie ,2015,51301,24.42
Asie ,2016,55920,25.6
Asie ,2017,61314,25.79
Asie ,2018,63224,25.34
Asie ,2019,61735,24.01
Asie ,2020,46976,22.24
Asie ,2021,58496,23.24
Europe ,2011,11184,6.29
Europe ,2012,11405,6.33
Europe ,2013,11934,6.2
Europe ,2014,12530,6.26
Europe ,2015,13266,6.31
Europe ,2016,14541,6.65
Europe ,2017,15037,6.32
Europe ,2018,14423,5.78
Europe ,2019,14251,5.54
Europe ,2020,10712,5.07
Europe ,2021,12697,5.04
Océanie,2011,821,.46
Océanie,2012,805,.45
Océanie,2013,716,.37
Océanie,2014,805,.4
Océanie,2015,809,.39
Océanie,2016,803,.37
Océanie,2017,924,.39
Océanie,2018,927,.37
Océanie,2019,805,.31
Océanie,2020,632,.3
Océanie,2021,764,.3
