age,hommes,femmes
0,-324842,310704
1,-350041,335003
2,-359212,343794
3,-358872,345671
4,-374866,355663
5,-380519,362356
6,-389513,371940
7,-401603,381552
8,-411899,392004
9,-422356,405092
10,-425647,406458
11,-434487,413392
12,-436608,416475
13,-447448,426894
14,-444476,421371
15,-449933,423191
16,-444271,420959
17,-450137,421805
18,-436299,407855
19,-425183,397885
20,-409836,387030
21,-406290,387421
22,-408176,388545
23,-411908,396467
24,-387894,377361
25,-382678,377867
26,-376992,374506
27,-379187,381086
28,-379211,382519
29,-369244,381889
30,-374103,384602
31,-390382,403822
32,-397806,411146
33,-409770,421317
34,-407992,424855
35,-413926,433878
36,-410461,433853
37,-416506,440104
38,-414834,438837
39,-410016,433797
40,-405045,427876
41,-429740,451268
42,-430624,451632
43,-435445,458455
44,-411536,431089
45,-404420,418769
46,-406457,417605
47,-396341,405322
48,-407594,418002
49,-428719,438101
50,-447511,458915
51,-460139,467304
52,-455588,464717
53,-443080,456139
54,-434873,450348
55,-427058,447113
56,-427268,444618
57,-435307,455891
58,-433474,456991
59,-436277,463079
60,-428969,457000
61,-411563,441032
62,-408745,441425
63,-402480,438537
64,-396152,435940
65,-382623,424319
66,-376976,421920
67,-368247,419258
68,-359034,415014
69,-354061,409854
70,-343352,401251
71,-344622,407154
72,-332116,392322
73,-340702,403279
74,-328295,394896
75,-323670,389138
76,-309764,377489
77,-285960,354091
78,-209353,263735
79,-198191,254305
80,-187350,244178
81,-167050,223022
82,-141387,194279
83,-139340,196339
84,-134894,202713
85,-123648,191566
86,-111253,181346
87,-101899,174010
88,-85952,159019
89,-76201,149105
90,-62442,131047
91,-53601,120062
92,-42440,102196
93,-32214,85317
94,-22916,66549
95,-16688,53312
96,-11106,40731
97,-7851,31067
98,-4959,21990
99,-3112,14684
100,-4647,26997
